Period,quote_kw_2012,quote_total_2012,%_2012,quote_kw_2016,quote_total_2016,%_2016,quote_kw_2020,quote_total_2020,%_2020
Apr,1560.0,19446.0,8.022215365627892,518.0,3428.0,15.110851808634774,749.0,4859.0,15.414694381559993
Aug,2478.0,16648.0,14.88467083133109,4179.0,36270.0,11.52191894127378,,,
Feb,1876.0,19901.0,9.426661976785086,519.0,3568.0,14.545964125560538,2965.0,13066.0,22.692484310424003
Jan,2700.0,21079.0,12.808956781631005,26.0,158.0,16.455696202531644,4278.0,17372.0,24.625834676490904
Jul,1664.0,15936.0,10.441767068273093,5915.0,40144.0,14.734455958549223,,,
Jun,1710.0,18719.0,9.135103370906565,142.0,1422.0,9.985935302390999,,,
Mar,1988.0,21712.0,9.156226971260132,34.0,53.0,64.15094339622641,2092.0,9914.0,21.101472664918298
Max,20377.0,184718.0,16.033469018543645,17883.0,132810.0,82.66666666666667,10084.0,45211.0,24.625834676490904
May,1952.0,20504.0,9.520093640265316,1591.0,7956.0,19.997486173956762,,,
Mean,3396.1666666666665,30786.333333333332,11.53732675013004,2980.5,22135.0,25.690751409494908,4033.6,18084.4,21.227758501496275
Median,1958.0,19446.0,11.031410041252071,519.0,3568.0,15.110851808634774,3499.3,15219.0,21.76603248779222
Nov,364.0,2426.0,15.004122011541632,2.0,6.0,33.33333333333333,,,
Oct,1958.0,15081.0,12.983223924142962,62.0,75.0,82.66666666666667,,,
Sep,2127.0,13266.0,16.033469018543645,4895.0,39730.0,12.32066448527561,,,
Total,20377.0,184718.0,11.031410041252071,17883.0,132810.0,13.465100519539192,10084.0,45211.0,22.304306474088165
std,4961.8903938289895,44951.037101726106,2.4986252744859843,4790.490779447032,35814.12362823139,21.72784924236721,2961.1956857066407,12975.929686263607,2.8550338326612272
