,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
0,Final Results,--,--,--,51.4,46.9,Biden +4.5
1,RCP Average,10/25 - 11/2,--,--,51.2,44.0,Biden +7.2
2,Economist/YouGovYouGov,10/31 - 11/2,1363 LV,3.3,53.0,43.0,Biden +10
3,IBD/TIPP*IBD/TIPP*,10/29 - 11/2,1212 LV,3.2,50.0,46.0,Biden +4
4,Reuters/IpsosReuters,10/29 - 11/2,914 LV,3.7,52.0,45.0,Biden +7
5,CNBC/Change Research (D)CNBC,10/29 - 11/1,1880 LV,2.3,52.0,42.0,Biden +10
6,Rasmussen ReportsRasmussen,10/28 - 11/1,1500 LV,2.5,48.0,47.0,Biden +1
7,QuinnipiacQuinnipiac,10/28 - 11/1,1516 LV,2.5,50.0,39.0,Biden +11
8,JTN/RMG Research*JTN/RMG*,10/29 - 10/31,1200 LV,2.8,51.0,44.0,Biden +7
9,NBC News/Wall St. JrnlNBC/WSJ,10/29 - 10/31,1000 RV,3.4,52.0,42.0,Biden +10
10,SurveyUSASUSA,10/29 - 10/31,1265 LV,3.2,52.0,44.0,Biden +8
11,FOX NewsFOX News,10/27 - 10/29,1246 LV,2.5,52.0,44.0,Biden +8
12,Harvard-HarrisHarris,10/27 - 10/28,LV,--,54.0,46.0,Biden +8
13,The Hill/HarrisXThe Hill,10/25 - 10/28,2359 LV,2.0,49.0,45.0,Biden +4
14,EmersonEmerson,10/25 - 10/26,1121 LV,2.8,50.0,45.0,Biden +5
15,Economist/YouGovYouGov,10/25 - 10/27,1365 LV,3.2,54.0,43.0,Biden +11
16,Reuters/IpsosReuters,10/23 - 10/27,825 LV,3.9,52.0,42.0,Biden +10
17,USA Today/SuffolkUSA Today,10/23 - 10/27,1000 LV,3.1,52.0,44.0,Biden +8
18,CNNCNN,10/23 - 10/26,886 LV,3.8,54.0,42.0,Biden +12
19,USC DornsifeUSC,10/20 - 11/2,5423 LV,--,54.0,43.0,Biden +11
20,JTN/RMG Research*JTN/RMG*,10/23 - 10/24,1842 LV,2.8,51.0,44.0,Biden +7
21,CNBCCNBC,10/21 - 10/24,800 RV,3.5,51.0,40.0,Biden +11
22,Economist/YouGovYouGov,10/18 - 10/20,1344 LV,3.2,52.0,43.0,Biden +9
23,Reuters/IpsosReuters,10/16 - 10/20,949 LV,3.6,51.0,42.0,Biden +9
24,QuinnipiacQuinnipiac,10/16 - 10/19,1426 LV,2.6,51.0,41.0,Biden +10
25,Rasmussen ReportsRasmussen,10/14 - 10/20,2500 LV,2.0,49.0,46.0,Biden +3
26,CNBC/Change Research (D)*CNBC*,10/17 - 10/18,2711 LV,1.9,52.0,42.0,Biden +10
27,SurveyUSASUSA,10/16 - 10/19,1136 LV,3.6,53.0,43.0,Biden +10
28,NY Times/Siena*NYT/Siena*,10/15 - 10/18,987 LV,3.4,50.0,41.0,Biden +9
29,JTN/RMG Research*JTN/RMG*,10/15 - 10/17,1265 LV,2.8,51.0,43.0,Biden +8
30,The Hill/HarrisXThe Hill,10/13 - 10/15,1897 RV,2.3,46.0,42.0,Biden +4
31,Economist/YouGovYouGov,10/11 - 10/13,1333 LV,4.3,52.0,42.0,Biden +10
32,The Hill/HarrisXThe Hill,10/10 - 10/13,2855 RV,1.8,47.0,40.0,Biden +7
33,Reuters/IpsosReuters,10/9 - 10/13,882 LV,3.8,51.0,41.0,Biden +10
34,IBD/TIPPIBD/TIPP,10/11 - 10/15,951 LV,3.2,49.0,43.0,Biden +6
35,NBC News/Wall St. JrnlNBC/WSJ,10/9 - 10/12,1000 RV,3.1,53.0,42.0,Biden +11
36,NPR/PBS/MaristNPR/PBS,10/8 - 10/13,819 LV,3.9,54.0,43.0,Biden +11
37,Rasmussen ReportsRasmussen,10/7 - 10/13,2500 LV,2.0,50.0,45.0,Biden +5
38,JTN/RMG Research*JTN/RMG*,10/8 - 10/10,1240 LV,2.8,51.0,43.0,Biden +8
39,ABC News/Wash PostABC/WP,10/6 - 10/9,725 LV,4.0,55.0,43.0,Biden +12
40,Economist/YouGovYouGov,10/4 - 10/6,1364 LV,4.8,51.0,42.0,Biden +9
41,The Hill/HarrisXThe Hill,10/3 - 10/6,2841 RV,1.8,45.0,40.0,Biden +5
42,FOX NewsFOX News,10/3 - 10/6,1012 LV,3.0,53.0,43.0,Biden +10
